MITSUBISHI;JAPAO
NISSAN;JAPAO
HONDA;JAPAO
TOYOTA;JAPAO
HYUNDAI;COREIA DO SUL
RENAULT;FRANCA
FORD;EUA
VOLKSWAGEN;ALEMANHA
GENERAL MOTORS;EUA
FIAT;ITALIA
